#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000009005.1	PRJNA63	SAMEA3138186		na	273036	1280	Staphylococcus aureus RF122	strain=RF122		latest	Complete Genome	Major	Full	2005/11/24	ASM900v1	Univ. Minnesota	GCF_000009005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/005/GCA_000009005.1_ASM900v1		
GCA_000009585.1	PRJEA29427	SAMEA2272644		na	523796	1280	Staphylococcus aureus subsp. aureus ST398	strain=type strain:ST398	S0385	latest	Complete Genome	Major	Full	2010/01/07	ASM958v1	University Medical Centre Utrecht	GCF_000009585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/585/GCA_000009585.1_ASM958v1		
GCA_000009645.1	PRJNA264	SAMD00061099		na	158879	1280	Staphylococcus aureus subsp. aureus N315	strain=N315		latest	Complete Genome	Major	Full	2004/05/11	ASM964v1	Juntendo Univ.	GCF_000009645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/645/GCA_000009645.1_ASM964v1		
GCA_000009665.1	PRJNA263	SAMD00061098		na	158878	1280	Staphylococcus aureus subsp. aureus Mu50	strain=Mu50		latest	Complete Genome	Major	Full	2004/05/14	ASM966v1	Juntendo Univ.	GCF_000009665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/665/GCA_000009665.1_ASM966v1		
GCA_000010445.1	PRJDA18509	SAMD00060910		na	418127	1280	Staphylococcus aureus subsp. aureus Mu3	strain=Mu3		latest	Complete Genome	Major	Full	2007/09/03	ASM1044v1	Juntendo Universit	GCF_000010445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/445/GCA_000010445.1_ASM1044v1		
GCA_000010465.1	PRJDA18801	SAMD00060913		na	426430	1280	Staphylococcus aureus subsp. aureus str. Newman	strain=Newman		latest	Complete Genome	Major	Full	2007/07/02	ASM1046v1	Juntendo University School of Medicine, Department of Bacteriology	GCF_000010465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/465/GCA_000010465.1_ASM1046v1		
GCA_000011265.1	PRJNA306	SAMD00061104		na	196620	1280	Staphylococcus aureus subsp. aureus MW2	strain=MW2		latest	Complete Genome	Major	Full	2004/05/11	ASM1126v1	NITE	GCF_000011265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/265/GCA_000011265.1_ASM1126v1		
GCA_000011505.1	PRJNA265	SAMEA1705935		na	282458	1280	Staphylococcus aureus subsp. aureus MRSA252	strain=MRSA252		latest	Complete Genome	Major	Full	2004/06/25	ASM1150v1	Sanger Institute	GCF_000011505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/505/GCA_000011505.1_ASM1150v1		
GCA_000011525.1	PRJNA266	SAMEA1705922		na	282459	1280	Staphylococcus aureus subsp. aureus MSSA476	strain=MSSA476		latest	Complete Genome	Major	Full	2004/06/25	ASM1152v1	Sanger Institute	GCF_000011525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/525/GCA_000011525.1_ASM1152v1		
GCA_000012045.1	PRJNA238	SAMN02603996		na	93062	1280	Staphylococcus aureus subsp. aureus COL	strain=COL		latest	Complete Genome	Major	Full	2005/05/27	ASM1204v1	TIGR	GCF_000012045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/045/GCA_000012045.1_ASM1204v1		
